symbol,smiles,cxsmiles,monomer_type
X759,CCCN[C@H](C=O)CCC(=O)O,CCCN[C@@H](CCC(O)=O)C([*])=O |$;;;;;;;;;;;_R2;$|,Backbone
X618,C=CC[C@H](N)C=O,[*]N[C@@H](CC=C)C=O |$_R1;;;;;;;$|,Backbone
X773,N[C@H](C=O)[C@@H](O)CO,OC[C@H](O)[C@H](N[*])C([*])=O |$;;;;;;_R1;;_R2;$|,Backbone
X489,Cc1c(O)ccc(C[C@H](N)C=O)c1C,Cc1c(O)ccc(C[C@H](N[*])C([*])=O)c1C |$;;;;;;;;;;_R1;;_R2;;;$|,Backbone
X491,C[C@H](OP(=O)(O)O)[C@H](N)C=O,C[C@H](OP(O)(O)=O)[C@H](N[*])C([*])=O |$;;;;;;;;;_R1;;_R2;$|,Backbone
X766,CC(C)(C)OC(=O)N[C@@](C)(C=O)c1ccccc1,CC(C)(C)OC(=O)N[C@@](C)(C([*])=O)c1ccccc1 |$;;;;;;;;;;;_R2;;;;;;;$|,Backbone
X781,CCCCN=C(NCCCC)NCCCC[C@@H](N)C=O,"CCCCNC(NCCCC[C@@H](N[*])C([*])=O)=NCCCC |w:17.17,4.3,$;;;;;;;;;;;;;_R1;;_R2;;;;;;$|",Backbone
X962,N=C(N)NCCC[C@H](N)C(=O)C[n+]1ccccc1,NC(=N)NCCC[C@H](N[*])C(=O)C[n+]1ccccc1 |$;;;;;;;;;_R1;;;;;;;;;$|,Backbone
X769,NCCN1C(=O)C[C@@H](C=O)NC1=O,NCCN1C(=O)C[C@H](NC1=O)C([*])=O |$;;;;;;;;;;;;_R2;$|,Backbone
X913,NNCCCC[C@H](N)C=O,NNCCCC[C@H](N[*])C([*])=O |$;;;;;;;;_R1;;_R2;$|,Backbone
Me_1-Nal,CN[C@H](C=O)Cc1cccc2ccccc12,CN([*])[C@@H](Cc1cccc2ccccc12)C([*])=O |$;;_R1;;;;;;;;;;;;;;_R2;$|,Backbone
X636,CS(=O)(=O)CC[C@H](N)C=O,CS(=O)(=O)CC[C@H](N[*])C([*])=O |$;;;;;;;;_R1;;_R2;$|,Backbone
X520,CN[C@H](C=O)C(C)(C)c1ccccc1,CN[C@H](C([*])=O)C(C)(C)c1ccccc1 |$;;;;_R2;;;;;;;;;;$|,Backbone
