symbol,smiles,cxsmiles,monomer_type
X249,C[C@H](NH)C=O,C[C@H](N[*])C=O |$;;;_R1;;$|,Backbone
X328,C[C@@H]([C@H](N)C(H)=O)c1c(C)cc(O)cc1C,C[C@@H]([C@H](N)C([*])=O)c1c(C)cc(O)cc1C |$;;;;;_R2;;;;;;;;;;$|,Backbone
R_OMe,COC(=O)[C@H](CCCNC(N)=N)NH,COC(=O)[C@H](CCCNC(N)=N)N[*] |$;;;;;;;;;;;;;_R1$|,Backbone
X561,CON[C@@H](Cc1cccc(O)c1)C(H)=O,CON[C@@H](Cc1cccc(O)c1)C([*])=O |$;;;;;;;;;;;;;_R2;$|,Backbone
X506,CCNC(=O)Nc1ccc(C[C@H](NH)C(H)=O)cc1,CCNC(=O)Nc1ccc(C[C@H](N[*])C([*])=O)cc1 |$;;;;;;;;;;;;;_R1;;_R2;;;$|,Backbone
H_OMe,COC(=O)[C@H](Cc1cnc[nH]1)NH,COC(=O)[C@H](Cc1cnc[nH]1)N[*] |$;;;;;;;;;;;;_R1$|,Backbone
X345,HN[C@@H](C1Cc2ccccc2C1)C(H)=O,[*]N[C@@H](C1Cc2ccccc2C1)C([*])=O |$_R1;;;;;;;;;;;;;_R2;$|,Backbone
A_OMe,COC(=O)[C@H](C)NH,COC(=O)[C@H](C)N[*] |$;;;;;;;_R1$|,Backbone
EtCO_d3-Pal,CCOC(=O)N[C@H](Cc1cccnc1)C(H)=O,CCOC(=O)N[C@H](Cc1cccnc1)C([*])=O |$;;;;;;;;;;;;;;;_R2;$|,Backbone
X373,HN[C@H](CSCc1ccccc1)C(H)=O,[*]N[C@H](CSCc1ccccc1)C([*])=O |$_R1;;;;;;;;;;;;;_R2;$|,Backbone
X385,HN(CCCc1ccccc1)CC(H)=O,[*]N(CCCc1ccccc1)CC([*])=O |$_R1;;;;;;;;;;;;;_R2;$|,Backbone
X1601,CCCCCCCCC[C@H](NH)C(H)=O,CCCCCCCCC[C@H](N[*])C([*])=O |$;;;;;;;;;;;_R1;;_R2;$|,Backbone
X1524,C[N+](C)(C)CCCC[C@H]([N-][N+]#N)C(H)=O,C[N+](C)(C)CCCC[C@H]([N-][N+]#N)C([*])=O |$;;;;;;;;;;;;;_R2;$|,Backbone
dP_OBzl,HN1CCC[C@@H]1C(=O)OCc1ccccc1,[*]N1CCC[C@@H]1C(=O)OCc1ccccc1 |$_R1;;;;;;;;;;;;;;;$|,Backbone
X1563,C[C@@](CCCCC=C)(NH)C(H)=O,C[C@@](CCCCC=C)(N[*])C([*])=O |$;;;;;;;;;_R1;;_R2;$|,Backbone
