symbol,smiles,cxsmiles,monomer_type
X2797,CC(=O)N([C@H](Cc1cccnc1)C(H)=O)C(=O)C=Cc1ccccc1;;;;;;;;;;;;;;;;;;;;;;;;,"CC(=O)N([C@H](Cc1cccnc1)C([*])=O)C(=O)C=Cc1ccccc1 |w:17.17,$;;;;;;;;;;;;;_R2;;;;;;;;;;;$|",Backbone
X2847,CN(C)c1ccc2c(-c3ccc(NC(=S)N[C@@H](CC(O)=O)C(H)=O)cc3)c3ccc(cc3oc2c1)=[N+](C)C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,"CN(C)c1ccc2c(-c3ccc(NC(=S)N[C@@H](CC(O)=O)C([*])=O)cc3)c3ccc(cc3oc2c1)=[N+](C)C |w:35.39,$;;;;;;;;;;;;;;;;;;;;;;_R2;;;;;;;;;;;;;;;$|",Backbone
X1404,CC(C)=CCCC(C)=CCCC(C)=CC[C@]12C[C@H](N(H)[C@H]1Nc1ccccc21)C(H)=O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,"CC(C)=CCCC(C)=CCCC(C)=CC[C@]12C[C@H](N([*])[C@H]1Nc1ccccc21)C([*])=O |w:8.8,13.13,$;;;;;;;;;;;;;;;;;;;_R1;;;;;;;;;;_R2;$|",Backbone
X261,HN1CC=C[C@@H]1C(H)=O,"[*]N1CC=C[C@@H]1C([*])=O |$_R1;;;;;;;_R2;$,c:3|",Backbone
X217,COC(=O)[C@H](CSCC=C(C)CCC=C(C)CCC=C(C)C)NH;;;;;;;;;;;;;;;;;;;;;;;,"COC(=O)[C@H](CSCC=C(C)CCC=C(C)CCC=C(C)C)N[*] |w:8.7,13.12,$;;;;;;;;;;;;;;;;;;;;;;;_R1$|",Backbone
X1592,CCCCCCNC(NCCCC[C@@H](NH)C(H)=O)=NCCCCCC;;;;;;;;;;;;;;;;;;;;;;;;;,"CCCCCCNC(NCCCC[C@@H](N[*])C([*])=O)=NCCCCCC |w:19.19,6.5,$;;;;;;;;;;;;;;;_R1;;_R2;;;;;;;;$|",Backbone
X2306,F[Al]1OC(=O)CN2CCN(Cc3ccc(NC(=S)NCCCC[C@H](NH)C(H)=O)cc3)CCN(CC2)CC(=O)O1,F[Al]1OC(=O)CN2CCN(Cc3ccc(NC(=S)NCCCC[C@H](N[*])C([*])=O)cc3)CCN(CC2)CC(=O)O1 |$;;;;;;;;;;;;;;;;;;;;;;;;;_R1;;_R2;;;;;;;;;;;;$|,Backbone
X2423,CC(C)C[C@@H](NC(=O)Oc1ccccc1C=CC(=O)NC(=O)[C@H](Cc1ccc(O)cc1)NH)C(H)=O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;,"CC(C)C[C@@H](NC(=O)Oc1ccccc1C=CC(=O)NC(=O)[C@H](Cc1ccc(O)cc1)N[*])C([*])=O |w:16.17,$;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;_R1;;_R2;$|",Backbone
X781,CCCCNC(NCCCC[C@@H](NH)C(H)=O)=NCCCC;;;;;;;;;;;;;;;;;;;;;,"CCCCNC(NCCCC[C@@H](N[*])C([*])=O)=NCCCC |w:17.17,4.3,$;;;;;;;;;;;;;_R1;;_R2;;;;;;$|",Backbone
X2894,HN[C@@H](CCCNC(=N)NCc1ccccc1)C(H)=O;;;;;;;;;;;;;;;;;;;,"[*]N[C@@H](CCCNC(=N)NCc1ccccc1)C([*])=O |w:9.9,$_R1;;;;;;;;;;;;;;;;;;_R2;$|",Backbone
