Symbol,CXSMILES,Monomer_Type,R1,R2,R3,processed_smiles,failure_reason
X1589,"CCCCCCN=C(NCCCC[C@H](N[*])C([*])=O)NC#N |w:6.5,$;;;;;;;;;;;;;;;_R1;;_R2;;;;$|",Backbone,H,OH,-,"CCCCCCN=C(NCCCC[C@H](NH)C(H)=O)NC#N |w:6.5,$;;;;;;;;;;;;;;;_R1;;_R2;;;;$|",complex_structure
X590,"[*]N1C[C@H](C[C@H]1C([*])=O)n1cc(nn1)C1=CCCCC1 |$_R1;;;;;;;_R2;;;;;;;;;;;;$,t:16|",Backbone,H,OH,-,"HN1C[C@H](C[C@H]1C(H)=O)n1cc(nn1)C1=CCCCC1 |$_R1;;;;;;;_R2;;;;;;;;;;;;$,t:16|",complex_structure
X1350,"CCCCN=C(NCCC[C@H](N[*])C([*])=O)NC#N |w:4.3,$;;;;;;;;;;;;_R1;;_R2;;;;$|",Backbone,H,OH,-,"CCCCN=C(NCCC[C@H](NH)C(H)=O)NC#N |w:4.3,$;;;;;;;;;;;;_R1;;_R2;;;;$|",complex_structure
X1650,"CC=CC=CC=CC(=O)OC[C@H](N[*])C([*])=O |w:1.0,4.4,6.6,$;;;;;;;;;;;;;_R1;;_R2;$|",Backbone,H,OH,-,"CC=CC=CC=CC(=O)OC[C@H](NH)C(H)=O |w:1.0,4.4,6.6,$;;;;;;;;;;;;;_R1;;_R2;$|",complex_structure
X11,"[*]N=C(Cc1ccccc1)C([*])=O |w:1.0,$_R1;;;;;;;;;;;_R2;$|",Backbone,H,OH,-,"HN=C(Cc1ccccc1)C(H)=O |w:1.0,$_R1;;;;;;;;;;;_R2;$|",model_processing_error
X1097,"COC1=CC(=O)N([C@H]1Cc1ccccc1)C(=O)[C@@H](OC(=O)[C@H]1CCCN1[*])C(C)C |$;;;;;;;;;;;;;;;;;;;;;;;;;;_R1;;;$,t:2|",Backbone,H,-,-,"COC1=CC(=O)N([C@H]1Cc1ccccc1)C(=O)[C@@H](OC(=O)[C@H]1CCCN1H)C(C)C |$;;;;;;;;;;;;;;;;;;;;;;;;;;_R1;;;$,t:2|",complex_structure
X1835,"CCOC(=O)C=CC[C@@H](C)[C@@H](O)[C@H](N(C)[*])C([*])=O |w:6.6,$;;;;;;;;;;;;;;;_R1;;_R2;$|",Backbone,H,OH,-,"CCOC(=O)C=CC[C@@H](C)[C@@H](O)[C@H](N(C)H)C(H)=O |w:6.6,$;;;;;;;;;;;;;;;_R1;;_R2;$|",complex_structure
X2737,"CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@H](CC[C@]4(C)[C@H]3CC[C@]12C)OC(=O)[C@H](CCCCN)N[*] |$;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;_R1$,t:14|",Backbone,H,-,-,"CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@H](CC[C@]4(C)[C@H]3CC[C@]12C)OC(=O)[C@H](CCCCN)NH |$;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;_R1$,t:14|",complex_structure
X315,"CCCCSNC(NC#N)=NCCCC[C@H](N[*])C([*])=O |w:10.10,$;;;;;;;;;;;;;;;;;_R1;;_R2;$|",Backbone,H,OH,-,"CCCCSNC(NC#N)=NCCCC[C@H](NH)C(H)=O |w:10.10,$;;;;;;;;;;;;;;;;;_R1;;_R2;$|",complex_structure
X377,"[*]N[C@H](CCCCNC1=NCCCN1)C([*])=O |$_R1;;;;;;;;;;;;;;;_R2;$,t:8|",Backbone,H,OH,-,"HN[C@H](CCCCNC1=NCCCN1)C(H)=O |$_R1;;;;;;;;;;;;;;;_R2;$,t:8|",complex_structure
X2362,"Oc1ccc(C[C@H](N=CCC(=O)[C@@H]2CCCN2[*])C([*])=O)cc1 |w:8.8,$;;;;;;;;;;;;;;;;;_R1;;_R2;;;$|",Backbone,H,OH,-,"Oc1ccc(C[C@H](N=CCC(=O)[C@@H]2CCCN2H)C(H)=O)cc1 |w:8.8,$;;;;;;;;;;;;;;;;;_R1;;_R2;;;$|",complex_structure
X3019,"CC(C)=CCCC(C)=CCCC(C)=CC[C@]12C[C@H](N([*])[C@@H]1Nc1ccccc21)C([*])=O |w:8.8,13.13,$;;;;;;;;;;;;;;;;;;;_R1;;;;;;;;;;_R2;$|",Backbone,H,OH,-,"CC(C)=CCCC(C)=CCCC(C)=CC[C@]12C[C@H](N(H)[C@@H]1Nc1ccccc21)C(H)=O |w:8.8,13.13,$;;;;;;;;;;;;;;;;;;;_R1;;;;;;;;;;_R2;$|",complex_structure
X1023,"CCCCCCCCCCCCCCCCCC(=O)OC[C@@H](COC(=O)[C@@H](N[*])[C@@H](C)CC)OC(=O)CCCC=CCC=CCC=CCC=CCCCCC |w:39.38,42.41,45.44,48.47,$;;;;;;;;;;;;;;;;;;;;;;;;;;;;_R1;;;;;;;;;;;;;;;;;;;;;;;;;;$|",Backbone,H,-,-,"CCCCCCCCCCCCCCCCCC(=O)OC[C@@H](COC(=O)[C@@H](NH)[C@@H](C)CC)OC(=O)CCCC=CCC=CCC=CCC=CCCCCC |w:39.38,42.41,45.44,48.47,$;;;;;;;;;;;;;;;;;;;;;;;;;;;;_R1;;;;;;;;;;;;;;;;;;;;;;;;;;$|",complex_structure
X1813,"[*]N=C(Cc1cccnc1)C([*])=O |w:1.0,$_R1;;;;;;;;;;;_R2;$|",Backbone,H,OH,-,"HN=C(Cc1cccnc1)C(H)=O |w:1.0,$_R1;;;;;;;;;;;_R2;$|",model_processing_error
X1853,"C[C@H](CC=CC=C)[C@@H](O)[C@H](N(C)[*])C([*])=O |w:3.2,$;;;;;;;;;;;;_R1;;_R2;$|",Backbone,H,OH,-,"C[C@H](CC=CC=C)[C@@H](O)[C@H](N(C)H)C(H)=O |w:3.2,$;;;;;;;;;;;;_R1;;_R2;$|",complex_structure
X1774,"C[C@H](CC=CCO)[C@@H](O)[C@H](N(C)[*])C([*])=O |w:3.2,$;;;;;;;;;;;;_R1;;_R2;$|",Backbone,H,OH,-,"C[C@H](CC=CCO)[C@@H](O)[C@H](N(C)H)C(H)=O |w:3.2,$;;;;;;;;;;;;_R1;;_R2;$|",complex_structure
X2176,"CCCCCCCC=CCn1cncc1C[C@H](N[*])C([*])=O |w:8.8,$;;;;;;;;;;;;;;;;;;_R1;;_R2;$|",Backbone,H,OH,-,"CCCCCCCC=CCn1cncc1C[C@H](NH)C(H)=O |w:8.8,$;;;;;;;;;;;;;;;;;;_R1;;_R2;$|",complex_structure
X634,"[*]N1C[C@@H](C[C@H]1C([*])=O)ON=Cc1ccc-2c(Cc3ccccc-23)c1 |w:10.10,$_R1;;;;;;;_R2;;;;;;;;;;;;;;;;;$|",Backbone,H,OH,-,"HN1C[C@@H](C[C@H]1C(H)=O)ON=Cc1ccc-2c(Cc3ccccc-23)c1 |w:10.10,$_R1;;;;;;;_R2;;;;;;;;;;;;;;;;;$|",complex_structure
X2458,"CC(C)C[C@H](NC(=O)N[C@@H]([C@@H]1CCN=C(N)N1)C([*])=O)C(O)=O |$;;;;;;;;;;;;;;;;;;_R2;;;;$,t:13|",Backbone,-,OH,-,"CC(C)C[C@H](NC(=O)N[C@@H]([C@@H]1CCN=C(N)N1)C(H)=O)C(O)=O |$;;;;;;;;;;;;;;;;;;_R2;;;;$,t:13|",complex_structure
X2892,"CC(=O)N([C@@H](Cc1ccccc1)C([*])=O)C(=O)C=Cc1ccccc1 |w:17.17,$;;;;;;;;;;;;;_R2;;;;;;;;;;;$|",Backbone,-,OH,-,"CC(=O)N([C@@H](Cc1ccccc1)C(H)=O)C(=O)C=Cc1ccccc1 |w:17.17,$;;;;;;;;;;;;;_R2;;;;;;;;;;;$|",complex_structure
X886,"CC(=O)CC=C[C@H](N[*])C(O)=O |w:4.3,$;;;;;;;;_R1;;;$|",Backbone,H,-,-,"CC(=O)CC=C[C@H](NH)C(O)=O |w:4.3,$;;;;;;;;_R1;;;$|",complex_structure
X956,"CC(=N[*])C([*])=O |w:2.2,$;;;_R1;;_R2;$|",Backbone,H,OH,-,"CC(=NH)C(H)=O |w:2.2,$;;;_R1;;_R2;$|",model_processing_error
X1708,"[*]N[C@H](C([*])=O)C1=CCC=CC1 |$_R1;;;;_R2;;;;;;;$,c:9,t:6|",Backbone,H,OH,-,"HN[C@H](C(H)=O)C1=CCC=CC1 |$_R1;;;;_R2;;;;;;;$,c:9,t:6|",complex_structure
X1822,"CC(C)OC(=O)CCC=C(C)[C@@H](O)[C@H](N(C)[*])C([*])=O |w:8.7,$;;;;;;;;;;;;;;;;_R1;;_R2;$|",Backbone,H,OH,-,"CC(C)OC(=O)CCC=C(C)[C@@H](O)[C@H](N(C)H)C(H)=O |w:8.7,$;;;;;;;;;;;;;;;;_R1;;_R2;$|",complex_structure
X1713,"[*]N1N=CCC[C@H]1C([*])=O |$_R1;;;;;;;;_R2;$,c:2|",Backbone,H,OH,-,"HN1N=CCC[C@H]1C(H)=O |$_R1;;;;;;;;_R2;$,c:2|",complex_structure
X2840,"CCCCCCC=CC(=O)N([C@@H](Cc1ccc(F)cc1)C([*])=O)C(C)=O |w:6.5,$;;;;;;;;;;;;;;;;;;;;;_R2;;;;$|",Backbone,-,OH,-,"CCCCCCC=CC(=O)N([C@@H](Cc1ccc(F)cc1)C(H)=O)C(C)=O |w:6.5,$;;;;;;;;;;;;;;;;;;;;;_R2;;;;$|",complex_structure
X2829,"CS(=O)(=O)CC[C@H](N[*])C(=O)C=CS(=O)(=O)c1ccccc1 |w:11.10,$;;;;;;;;_R1;;;;;;;;;;;;;$|",Backbone,H,-,-,"CS(=O)(=O)CC[C@H](NH)C(=O)C=CS(=O)(=O)c1ccccc1 |w:11.10,$;;;;;;;;_R1;;;;;;;;;;;;;$|",complex_structure
X2107,"CC(C)(C)OC(=O)N[C@@H](CCCCCC=C[C@@H]1C[C@]1(N[*])C(O)=O)C([*])=O |w:14.13,$;;;;;;;;;;;;;;;;;;;;_R1;;;;;_R2;$|",Backbone,H,OH,-,"CC(C)(C)OC(=O)N[C@@H](CCCCCC=C[C@@H]1C[C@]1(NH)C(O)=O)C(H)=O |w:14.13,$;;;;;;;;;;;;;;;;;;;;_R1;;;;;_R2;$|",complex_structure
X2110,"COC(=O)[C@H](Cc1cccc(OC(=O)C=Cc2ccccc2)c1)N[*] |w:14.13,$;;;;;;;;;;;;;;;;;;;;;;;;_R1$|",Backbone,H,-,-,"COC(=O)[C@H](Cc1cccc(OC(=O)C=Cc2ccccc2)c1)NH |w:14.13,$;;;;;;;;;;;;;;;;;;;;;;;;_R1$|",complex_structure
X174,"CCN=C(NCCCC[C@@H](N[*])C([*])=O)NCCCN(C)C |w:2.1,$;;;;;;;;;;;_R1;;_R2;;;;;;;;$|",Backbone,H,OH,-,"CCN=C(NCCCC[C@@H](NH)C(H)=O)NCCCN(C)C |w:2.1,$;;;;;;;;;;;_R1;;_R2;;;;;;;;$|",complex_structure
X2611,"CC(C)[C@H](N[*])C(=O)C1=N[C@@H](C)CO1 |$;;;;;_R1;;;;;;;;$,t:8|",Backbone,H,-,-,"CC(C)[C@H](NH)C(=O)C1=N[C@@H](C)CO1 |$;;;;;_R1;;;;;;;;$,t:8|",complex_structure
X2280,"CC(C)C[C@H](N[*])C(=O)CN1CCC=C(C1)C(O)=O |$;;;;;;_R1;;;;;;;;;;;;$,c:13|",Backbone,H,-,-,"CC(C)C[C@H](NH)C(=O)CN1CCC=C(C1)C(O)=O |$;;;;;;_R1;;;;;;;;;;;;$,c:13|",complex_structure
X2867,"CC(=O)N([C@@H](Cc1ccc(F)cc1)C([*])=O)C(=O)C=Cc1ccc(O)cc1 |w:18.18,$;;;;;;;;;;;;;;_R2;;;;;;;;;;;;$|",Backbone,-,OH,-,"CC(=O)N([C@@H](Cc1ccc(F)cc1)C(H)=O)C(=O)C=Cc1ccc(O)cc1 |w:18.18,$;;;;;;;;;;;;;;_R2;;;;;;;;;;;;$|",complex_structure
X982,"CCCCN=C(NCCCC[C@H](N[*])C([*])=O)NC#N |w:4.3,$;;;;;;;;;;;;;_R1;;_R2;;;;$|",Backbone,H,OH,-,"CCCCN=C(NCCCC[C@H](NH)C(H)=O)NC#N |w:4.3,$;;;;;;;;;;;;;_R1;;_R2;;;;$|",complex_structure
X1902,"COCOC(=O)C=CC[C@@H](C)[C@@H](O)[C@H](N(C)[*])C([*])=O |w:7.7,$;;;;;;;;;;;;;;;;_R1;;_R2;$|",Backbone,H,OH,-,"COCOC(=O)C=CC[C@@H](C)[C@@H](O)[C@H](N(C)H)C(H)=O |w:7.7,$;;;;;;;;;;;;;;;;_R1;;_R2;$|",complex_structure
X1931,C[C@H](C[C@H]1OC11CC1)[C@@H](O[Si](C)(C)C(C)(C)C)[C@H](N(C)[*])C([*])=O |$;;;;;;;;;;;;;;;;;;;;_R1;;_R2;$|,Backbone,H,OH,-,C[C@H](C[C@H]1OC11CC1)[C@@H](O[Si](C)(C)C(C)(C)C)[C@H](N(C)H)C(H)=O,complex_structure
X420,"CCCCN=C(NCCCC[C@@H](N[*])C([*])=O)NC#N |w:4.3,$;;;;;;;;;;;;;_R1;;_R2;;;;$|",Backbone,H,OH,-,"CCCCN=C(NCCCC[C@@H](NH)C(H)=O)NC#N |w:4.3,$;;;;;;;;;;;;;_R1;;_R2;;;;$|",complex_structure
X2841,"Fc1ccc(C[C@H](N[*])C(=O)NC(=O)C=Cc2ccccc2)cc1 |w:14.13,$;;;;;;;;_R1;;;;;;;;;;;;;;;$|",Backbone,H,-,-,"Fc1ccc(C[C@H](NH)C(=O)NC(=O)C=Cc2ccccc2)cc1 |w:14.13,$;;;;;;;;_R1;;;;;;;;;;;;;;;$|",complex_structure
X2252,"COC1=CC(=O)N([C@H]1Cc1ccccc1)C(=O)[C@@H](OC(=O)[C@@H](C)N(C)[*])C(C)C |$;;;;;;;;;;;;;;;;;;;;;;;;;_R1;;;$,t:2|",Backbone,H,-,-,"COC1=CC(=O)N([C@H]1Cc1ccccc1)C(=O)[C@@H](OC(=O)[C@@H](C)N(C)H)C(C)C |$;;;;;;;;;;;;;;;;;;;;;;;;;_R1;;;$,t:2|",complex_structure
X2832,"[*]N[C@@H](CCCNC(=N)NC1CC1)C([*])=O |w:9.9,$_R1;;;;;;;;;;;;;;_R2;$|",Backbone,H,OH,-,"HN[C@@H](CCCNC(=N)NC1CC1)C(H)=O |w:9.9,$_R1;;;;;;;;;;;;;;_R2;$|",complex_structure
X2796,"CC(=O)N([C@@H](Cc1ccc(F)cc1)C([*])=O)C(=O)C=Cc1ccc(F)cc1 |w:18.18,$;;;;;;;;;;;;;;_R2;;;;;;;;;;;;$|",Backbone,-,OH,-,"CC(=O)N([C@@H](Cc1ccc(F)cc1)C(H)=O)C(=O)C=Cc1ccc(F)cc1 |w:18.18,$;;;;;;;;;;;;;;_R2;;;;;;;;;;;;$|",complex_structure
X893,CC(=[Se])NCCCC[C@H](N[*])C([*])=O |$;;;;;;;;;;_R1;;_R2;$|,Backbone,H,OH,-,CC(=[Se])NCCCC[C@H](NH)C(H)=O,complex_structure
X1039,"COC(=O)[C@H](COC(=O)C=Cc1ccccc1)N[*] |w:9.8,$;;;;;;;;;;;;;;;;;;_R1$|",Backbone,H,-,-,"COC(=O)[C@H](COC(=O)C=Cc1ccccc1)NH |w:9.8,$;;;;;;;;;;;;;;;;;;_R1$|",complex_structure
X1690,"CC=CCC(C)(C)[C@@H](O)[C@H](N(C)[*])C([*])=O |w:1.0,$;;;;;;;;;;;;_R1;;_R2;$|",Backbone,H,OH,-,"CC=CCC(C)(C)[C@@H](O)[C@H](N(C)H)C(H)=O |w:1.0,$;;;;;;;;;;;;_R1;;_R2;$|",complex_structure
X149,"Oc1ccc(C[C@H](N[*])C([*])=O)cc1N=Nc1ccc([N-][N+]#N)cc1 |w:14.14,$;;;;;;;;_R1;;_R2;;;;;;;;;;;;;;$|",Backbone,H,OH,-,"Oc1ccc(C[C@H](NH)C(H)=O)cc1N=Nc1ccc([N-][N+]#N)cc1 |w:14.14,$;;;;;;;;_R1;;_R2;;;;;;;;;;;;;;$|",complex_structure
X2809,"CC[C@@H](C)[C@@H](N)C1=N[C@@H](CS1)C([*])=O |$;;;;;;;;;;;;_R2;$,t:6|",Backbone,-,OH,-,"CC[C@@H](C)[C@@H](N)C1=N[C@@H](CS1)C(H)=O |$;;;;;;;;;;;;_R2;$,t:6|",complex_structure
X1438,"[*]N[C@H](CCCN=C(NCc1ccccn1)NC#N)C([*])=O |w:6.5,$_R1;;;;;;;;;;;;;;;;;;;;_R2;$|",Backbone,H,OH,-,"HN[C@H](CCCN=C(NCc1ccccn1)NC#N)C(H)=O |w:6.5,$_R1;;;;;;;;;;;;;;;;;;;;_R2;$|",complex_structure
X1240,"CC(C)NC(NCCCC[C@@H](N[*])C([*])=O)=NC(C)C |w:16.16,$;;;;;;;;;;;;_R1;;_R2;;;;;$|",Backbone,H,OH,-,"CC(C)NC(NCCCC[C@@H](NH)C(H)=O)=NC(C)C |w:16.16,$;;;;;;;;;;;;_R1;;_R2;;;;;$|",complex_structure
X1490,"NN=C(N)N(N)CCC[C@H](N[*])C(O)=O |w:1.0,$;;;;;;;;;;;_R1;;;$|",Backbone,H,-,-,"NN=C(N)N(N)CCC[C@H](NH)C(O)=O |w:1.0,$;;;;;;;;;;;_R1;;;$|",complex_structure
X2753,"[*]N[C@@H](Cc1ccc(C=Cc2ccccc2)cc1)C([*])=O |w:8.7,$_R1;;;;;;;;;;;;;;;;;;;_R2;$|",Backbone,H,OH,-,"HN[C@@H](Cc1ccc(C=Cc2ccccc2)cc1)C(H)=O |w:8.7,$_R1;;;;;;;;;;;;;;;;;;;_R2;$|",complex_structure
X2641,"COC(=O)[C@H](Cc1ccc(OC(=O)C=Cc2ccccc2)cc1)N[*] |w:13.12,$;;;;;;;;;;;;;;;;;;;;;;;;_R1$|",Backbone,H,-,-,"COC(=O)[C@H](Cc1ccc(OC(=O)C=Cc2ccccc2)cc1)NH |w:13.12,$;;;;;;;;;;;;;;;;;;;;;;;;_R1$|",complex_structure
X2899,"CC=CCC=CC(=O)N([C@@H](Cc1ccc(F)cc1)C([*])=O)C(C)=O |w:1.0,4.3,$;;;;;;;;;;;;;;;;;;;_R2;;;;$|",Backbone,-,OH,-,"CC=CCC=CC(=O)N([C@@H](Cc1ccc(F)cc1)C(H)=O)C(C)=O |w:1.0,4.3,$;;;;;;;;;;;;;;;;;;;_R2;;;;$|",complex_structure
X21,"[*]N[C@H](CCCCNC(NC#N)=NC1CCCCC1)C([*])=O |w:12.12,$_R1;;;;;;;;;;;;;;;;;;;;_R2;$|",Backbone,H,OH,-,"HN[C@H](CCCCNC(NC#N)=NC1CCCCC1)C(H)=O |w:12.12,$_R1;;;;;;;;;;;;;;;;;;;;_R2;$|",complex_structure
X1040,"CNC(NCCC[C@H](N[*])C([*])=O)=NC |w:13.13,1.0,$;;;;;;;;;_R1;;_R2;;;$|",Backbone,H,OH,-,"CNC(NCCC[C@H](NH)C(H)=O)=NC |w:13.13,1.0,$;;;;;;;;;_R1;;_R2;;;$|",complex_structure
X1826,"CC(C)[C@H](N([*])CC=C(C)CO)C([*])=O |w:7.6,$;;;;;_R1;;;;;;;;_R2;$|",Backbone,H,OH,-,"CC(C)[C@H](N(H)CC=C(C)CO)C(H)=O |w:7.6,$;;;;;_R1;;;;;;;;_R2;$|",complex_structure
X17,"CCNC(NCCCC[C@H](N[*])C([*])=O)=NCC |w:15.15,2.1,$;;;;;;;;;;;_R1;;_R2;;;;$|",Backbone,H,OH,-,"CCNC(NCCCC[C@H](NH)C(H)=O)=NCC |w:15.15,2.1,$;;;;;;;;;;;_R1;;_R2;;;;$|",complex_structure
X431,"[*]N[C@@H](CC1=CCC(=O)CC1)C([*])=O |$_R1;;;;;;;;;;;;_R2;$,t:4|",Backbone,H,OH,-,"HN[C@@H](CC1=CCC(=O)CC1)C(H)=O |$_R1;;;;;;;;;;;;_R2;$,t:4|",complex_structure
X1203,"COc1ccc(C=NO[C@@H]2C[C@H](N([*])C2)C([*])=O)cc1OC |w:7.7,$;;;;;;;;;;;;;_R1;;;_R2;;;;;$|",Backbone,H,OH,-,"COc1ccc(C=NO[C@@H]2C[C@H](N(H)C2)C(H)=O)cc1OC |w:7.7,$;;;;;;;;;;;;;_R1;;;_R2;;;;;$|",complex_structure
X630,"[*]N[C@@H](CCCCN=C(NCc1ccccn1)NC#N)C([*])=O |w:7.6,$_R1;;;;;;;;;;;;;;;;;;;;;_R2;$|",Backbone,H,OH,-,"HN[C@@H](CCCCN=C(NCc1ccccn1)NC#N)C(H)=O |w:7.6,$_R1;;;;;;;;;;;;;;;;;;;;;_R2;$|",complex_structure
X449,"[*]N1C[C@@H](C[C@H]1C([*])=O)ON=Cc1ccc(o1)-c1nc2ccccc2s1 |w:10.10,$_R1;;;;;;;_R2;;;;;;;;;;;;;;;;;;$|",Backbone,H,OH,-,"HN1C[C@@H](C[C@H]1C(H)=O)ON=Cc1ccc(o1)-c1nc2ccccc2s1 |w:10.10,$_R1;;;;;;;_R2;;;;;;;;;;;;;;;;;;$|",complex_structure
X3016,C[Si]1(C)C[C@H](N([*])C1)C([*])=O |$;;;;;;_R1;;;_R2;$|,Backbone,H,OH,-,C[Si]1(C)C[C@H](N(H)C1)C(H)=O,complex_structure
X2888,"CCCC[C@H](N[*])C(=O)C=CS(=O)(=O)c1ccccc1 |w:9.8,$;;;;;;_R1;;;;;;;;;;;;;$|",Backbone,H,-,-,"CCCC[C@H](NH)C(=O)C=CS(=O)(=O)c1ccccc1 |w:9.8,$;;;;;;_R1;;;;;;;;;;;;;$|",complex_structure
X1837,"CC(=O)OCC=CCOC[C@@H](N[*])C([*])=O |w:6.6,$;;;;;;;;;;;;_R1;;_R2;$|",Backbone,H,OH,-,"CC(=O)OCC=CCOC[C@@H](NH)C(H)=O |w:6.6,$;;;;;;;;;;;;_R1;;_R2;$|",complex_structure
X1664,"NC1=NC[C@H](N1)[C@@H](O)[C@H](N[*])C([*])=O |$;;;;;;;;;;_R1;;_R2;$,t:1|",Backbone,H,OH,-,"NC1=NC[C@H](N1)[C@@H](O)[C@H](NH)C(H)=O |$;;;;;;;;;;_R1;;_R2;$,t:1|",complex_structure
X1736,"BrCC=CCOC[C@@H](N[*])C([*])=O |w:3.3,$;;;;;;;;;_R1;;_R2;$|",Backbone,H,OH,-,"BrCC=CCOC[C@@H](NH)C(H)=O |w:3.3,$;;;;;;;;;_R1;;_R2;$|",complex_structure
X1669,"CC=CC[C@@H](C)[C@@H](O)[C@@H](N(C)[*])C([*])=O |w:1.0,$;;;;;;;;;;;_R1;;_R2;$|",Backbone,H,OH,-,"CC=CC[C@@H](C)[C@@H](O)[C@@H](N(C)H)C(H)=O |w:1.0,$;;;;;;;;;;;_R1;;_R2;$|",complex_structure
X1781,"C[C@H](CC1=NCc2ccccc2N1)[C@@H](O)[C@H](N(C)[*])C([*])=O |$;;;;;;;;;;;;;;;;;;_R1;;_R2;$,t:3|",Backbone,H,OH,-,"C[C@H](CC1=NCc2ccccc2N1)[C@@H](O)[C@H](N(C)H)C(H)=O |$;;;;;;;;;;;;;;;;;;_R1;;_R2;$,t:3|",complex_structure
X29,"CC(C)N=C(NCCCC[C@H](N[*])C([*])=O)NC#N |w:3.2,$;;;;;;;;;;;;_R1;;_R2;;;;$|",Backbone,H,OH,-,"CC(C)N=C(NCCCC[C@H](NH)C(H)=O)NC#N |w:3.2,$;;;;;;;;;;;;_R1;;_R2;;;;$|",complex_structure
X2451,"CC1(C)C(=CC=CC=CC=CC2=[N+](CC([*])=O)c3ccc4ccccc4c3C2(C)C)N(CCC(O)=O)c2ccc3ccccc3c12 |w:4.4,6.6,8.8,10.10,$;;;;;;;;;;;;;;;_R2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;$,c:11|",Backbone,-,OH,-,"CC1(C)C(=CC=CC=CC=CC2=[N+](CC(H)=O)c3ccc4ccccc4c3C2(C)C)N(CCC(O)=O)c2ccc3ccccc3c12 |w:4.4,6.6,8.8,10.10,$;;;;;;;;;;;;;;;_R2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;$,c:11|",complex_structure
X173,"CCCNC(NCCCC[C@@H](N[*])C([*])=O)=NCCC |w:16.16,3.2,$;;;;;;;;;;;;_R1;;_R2;;;;;$|",Backbone,H,OH,-,"CCCNC(NCCCC[C@@H](NH)C(H)=O)=NCCC |w:16.16,3.2,$;;;;;;;;;;;;_R1;;_R2;;;;;$|",complex_structure
X322,"COC1=CC(=O)N([C@@H]1Cc1ccccc1)C(=O)[C@@H](OC(=O)[C@@H]1CCCN1[*])C(C)C |$;;;;;;;;;;;;;;;;;;;;;;;;;;_R1;;;$,t:2|",Backbone,H,-,-,"COC1=CC(=O)N([C@@H]1Cc1ccccc1)C(=O)[C@@H](OC(=O)[C@@H]1CCCN1H)C(C)C |$;;;;;;;;;;;;;;;;;;;;;;;;;;_R1;;;$,t:2|",complex_structure
X3005,C[Si](C)(C)C[C@H](N[*])C([*])=O |$;;;;;;;_R1;;_R2;$|,Backbone,H,OH,-,C[Si](C)(C)C[C@H](NH)C(H)=O,complex_structure
X6,"CN=C(NCCCC[C@H](N[*])C([*])=O)NC#N |w:1.0,$;;;;;;;;;;_R1;;_R2;;;;$|",Backbone,H,OH,-,"CN=C(NCCCC[C@H](NH)C(H)=O)NC#N |w:1.0,$;;;;;;;;;;_R1;;_R2;;;;$|",complex_structure
X2024,"[*]C(=O)C1=CSCC=N1 |$_R2;;;;;;;;$,c:7,t:3|",Backbone,-,OH,-,"HC(=O)C1=CSCC=N1 |$_R2;;;;;;;;$,c:7,t:3|",model_processing_error
X2064,"COc1ccc(C=Cc2cc(OC)c(OC)c(OC)c2)cc1OC(=O)N(CCN)CC([*])=O |w:6.5,$;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;_R2;$|",Backbone,-,OH,-,"COc1ccc(C=Cc2cc(OC)c(OC)c(OC)c2)cc1OC(=O)N(CCN)CC(H)=O |w:6.5,$;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;_R2;$|",model_processing_error
X1758,"CC=CC[C@@H](C)C[C@H](N(C)[*])C([*])=O |w:1.0,$;;;;;;;;;;_R1;;_R2;$|",Backbone,H,OH,-,"CC=CC[C@@H](C)C[C@H](N(C)H)C(H)=O |w:1.0,$;;;;;;;;;;_R1;;_R2;$|",complex_structure
X1875,"CC=CCC[C@@H](O)[C@H](N(C)[*])C([*])=O |w:1.0,$;;;;;;;;;;_R1;;_R2;$|",Backbone,H,OH,-,"CC=CCC[C@@H](O)[C@H](N(C)H)C(H)=O |w:1.0,$;;;;;;;;;;_R1;;_R2;$|",complex_structure
X1901,"NC1=NC[C@H](N1)[C@H](O)[C@@H](N[*])C([*])=O |$;;;;;;;;;;_R1;;_R2;$,t:1|",Backbone,H,OH,-,"NC1=NC[C@H](N1)[C@H](O)[C@@H](NH)C(H)=O |$;;;;;;;;;;_R1;;_R2;$,t:1|",complex_structure
X54,"CS(=O)(=O)CC=C[C@H](N[*])C(O)=O |w:5.4,$;;;;;;;;;_R1;;;$|",Backbone,H,-,-,"CS(=O)(=O)CC=C[C@H](NH)C(O)=O |w:5.4,$;;;;;;;;;_R1;;;$|",complex_structure
X218,"COC(=O)[C@H](CSCC=C(C)CCC=C(C)COCc1cccc(c1)C(=O)c1ccccc1)N[*] |w:8.7,13.12,$;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;_R1$|",Backbone,H,-,-,"COC(=O)[C@H](CSCC=C(C)CCC=C(C)COCc1cccc(c1)C(=O)c1ccccc1)NH |w:8.7,13.12,$;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;_R1$|",complex_structure
