Symbol,CXSMILES,Monomer_Type,R1,R2,R3,processed_smiles,failure_reason
X1761,"COCCCC=C(C)[C@@H](O)[C@H](N(C)[*])C([*])=O |w:5.4,$;;;;;;;;;;;;;_R1;;_R2;$|",Backbone,H,OH,-,"COCCCC=C(C)[C@@H](O)[C@H](N(C)H)C(H)=O |w:5.4,$;;;;;;;;;;;;;_R1;;_R2;$|",complex_structure
X30,"CC(C)N=C(NCCCC[C@@H](N[*])C([*])=O)NC#N |w:3.2,$;;;;;;;;;;;;_R1;;_R2;;;;$|",Backbone,H,OH,-,"CC(C)N=C(NCCCC[C@@H](NH)C(H)=O)NC#N |w:3.2,$;;;;;;;;;;;;_R1;;_R2;;;;$|",complex_structure
X2849,"[*]N[C@@H](CC1=CCC=CC1)C([*])=O |$_R1;;;;;;;;;;;_R2;$,c:7,t:4|",Backbone,H,OH,-,"HN[C@@H](CC1=CCC=CC1)C(H)=O |$_R1;;;;;;;;;;;_R2;$,c:7,t:4|",complex_structure
X504,"[*]N[C@@H](CCCCNC1=NCCCN1)C([*])=O |$_R1;;;;;;;;;;;;;;;_R2;$,t:8|",Backbone,H,OH,-,"HN[C@@H](CCCCNC1=NCCCN1)C(H)=O |$_R1;;;;;;;;;;;;;;;_R2;$,t:8|",complex_structure
X2304,"CC[C@H](C)[C@@H](N)C1=N[C@H](CS1)C([*])=O |$;;;;;;;;;;;;_R2;$,t:6|",Backbone,-,OH,-,"CC[C@H](C)[C@@H](N)C1=N[C@H](CS1)C(H)=O |$;;;;;;;;;;;;_R2;$,t:6|",complex_structure
X2877,"CC(=O)N(CC([*])=O)C(=O)C=Cc1ccccc1 |w:10.9,$;;;;;;_R2;;;;;;;;;;;$|",Backbone,-,OH,-,"CC(=O)N(CC(H)=O)C(=O)C=Cc1ccccc1 |w:10.9,$;;;;;;_R2;;;;;;;;;;;$|",model_processing_error
X3001,"CN1[C@H](C=CC[C@H](N[*])C1=O)C1CCCCC1 |$;;;;;;;;_R1;;;;;;;;$,c:3|",Backbone,H,-,-,"CN1[C@H](C=CC[C@H](NH)C1=O)C1CCCCC1 |$;;;;;;;;_R1;;;;;;;;$,c:3|",complex_structure
X5,"CN=C(NCCCC[C@@H](N[*])C([*])=O)NC#N |w:1.0,$;;;;;;;;;;_R1;;_R2;;;;$|",Backbone,H,OH,-,"CN=C(NCCCC[C@@H](NH)C(H)=O)NC#N |w:1.0,$;;;;;;;;;;_R1;;_R2;;;;$|",complex_structure
X1687,"OC(=O)CCC=CC[C@H](N[*])C([*])=O |w:6.6,$;;;;;;;;;;_R1;;_R2;$|",Backbone,H,OH,-,"OC(=O)CCC=CC[C@H](NH)C(H)=O |w:6.6,$;;;;;;;;;;_R1;;_R2;$|",complex_structure
X1759,"CCC=CC[C@@H](C)[C@@H](O)[C@H](N(C)[*])C([*])=O |w:3.3,$;;;;;;;;;;;;_R1;;_R2;$|",Backbone,H,OH,-,"CCC=CC[C@@H](C)[C@@H](O)[C@H](N(C)H)C(H)=O |w:3.3,$;;;;;;;;;;;;_R1;;_R2;$|",complex_structure
X1679,"COC(=O)C=CC[C@@H](C)[C@@H](O)[C@H](N(C)[*])C([*])=O |w:5.5,$;;;;;;;;;;;;;;_R1;;_R2;$|",Backbone,H,OH,-,"COC(=O)C=CC[C@@H](C)[C@@H](O)[C@H](N(C)H)C(H)=O |w:5.5,$;;;;;;;;;;;;;;_R1;;_R2;$|",complex_structure
X20,"[*]N[C@@H](CCCCNC(NC#N)=NC1CCCCC1)C([*])=O |w:12.12,$_R1;;;;;;;;;;;;;;;;;;;;_R2;$|",Backbone,H,OH,-,"HN[C@@H](CCCCNC(NC#N)=NC1CCCCC1)C(H)=O |w:12.12,$_R1;;;;;;;;;;;;;;;;;;;;_R2;$|",complex_structure
X32,"[*]N[C@@H](C=Cc1ccccc1)C([*])=O |w:4.4,$_R1;;;;;;;;;;;;_R2;$|",Backbone,H,OH,-,"HN[C@@H](C=Cc1ccccc1)C(H)=O |w:4.4,$_R1;;;;;;;;;;;;_R2;$|",complex_structure
X2763,"CC=C[C@H](N[*])C([*])=O |w:1.0,$;;;;;_R1;;_R2;$|",Backbone,H,OH,-,"CC=C[C@H](NH)C(H)=O |w:1.0,$;;;;;_R1;;_R2;$|",complex_structure
X1372,"Cc1c(Cl)cc2n(C)cc(C3=N[C@](C)(CO3)C([*])=O)c2c1O |$;;;;;;;;;;;;;;;;;_R2;;;;$,t:10|",Backbone,-,OH,-,"Cc1c(Cl)cc2n(C)cc(C3=N[C@](C)(CO3)C(H)=O)c2c1O |$;;;;;;;;;;;;;;;;;_R2;;;;$,t:10|",complex_structure
X1349,"CCCCN=C(NCCC[C@@H](N[*])C([*])=O)NC#N |w:4.3,$;;;;;;;;;;;;_R1;;_R2;;;;$|",Backbone,H,OH,-,"CCCCN=C(NCCC[C@@H](NH)C(H)=O)NC#N |w:4.3,$;;;;;;;;;;;;_R1;;_R2;;;;$|",complex_structure
X233,"CCC(=N[*])C([*])=O |w:3.3,$;;;;_R1;;_R2;$|",Backbone,H,OH,-,"CCC(=NH)C(H)=O |w:3.3,$;;;;_R1;;_R2;$|",model_processing_error
X1635,"[*]N1C[C@@H](C[C@H]1C([*])=O)ON=Cc1ccc(OC(=O)c2ccc3OCOc3c2)cc1 |w:10.10,$_R1;;;;;;;_R2;;;;;;;;;;;;;;;;;;;;;;$|",Backbone,H,OH,-,"HN1C[C@@H](C[C@H]1C(H)=O)ON=Cc1ccc(OC(=O)c2ccc3OCOc3c2)cc1 |w:10.10,$_R1;;;;;;;_R2;;;;;;;;;;;;;;;;;;;;;;$|",complex_structure
X2677,"COc1ccc(C=C2SC(=S)N([C@@H](Cc3ccccc3)C([*])=O)C2=O)cc1OC |w:6.5,$;;;;;;;;;;;;;;;;;;;;;_R2;;;;;;;$|",Backbone,-,OH,-,"COc1ccc(C=C2SC(=S)N([C@@H](Cc3ccccc3)C(H)=O)C2=O)cc1OC |w:6.5,$;;;;;;;;;;;;;;;;;;;;;_R2;;;;;;;$|",complex_structure
X1760,"CC=CC[C@@H](C)[C@H](O)[C@H](N(C)[*])C([*])=O |w:1.0,$;;;;;;;;;;;_R1;;_R2;$|",Backbone,H,OH,-,"CC=CC[C@@H](C)[C@H](O)[C@H](N(C)H)C(H)=O |w:1.0,$;;;;;;;;;;;_R1;;_R2;$|",complex_structure
X1670,"CC=CC[C@@H](C)[C@@H](O)[C@H](N(C)[*])C([*])=O |w:1.0,$;;;;;;;;;;;_R1;;_R2;$|",Backbone,H,OH,-,"CC=CC[C@@H](C)[C@@H](O)[C@H](N(C)H)C(H)=O |w:1.0,$;;;;;;;;;;;_R1;;_R2;$|",complex_structure
X354,"Cn1cc(C2=N[C@](C)(CO2)C([*])=O)c2c(O)cc(Cl)cc12 |$;;;;;;;;;;;_R2;;;;;;;;;$,t:4|",Backbone,-,OH,-,"Cn1cc(C2=N[C@](C)(CO2)C(H)=O)c2c(O)cc(Cl)cc12 |$;;;;;;;;;;;_R2;;;;;;;;;$,t:4|",complex_structure
X2091,"CC[C@H](C)[C@H](N)C1=N[C@@H](CS1)C([*])=O |$;;;;;;;;;;;;_R2;$,t:6|",Backbone,-,OH,-,"CC[C@H](C)[C@H](N)C1=N[C@@H](CS1)C(H)=O |$;;;;;;;;;;;;_R2;$,t:6|",complex_structure
X2229,"OC(=O)C[C@H](N[*])C(=O)COC1=C(Cc2ccccc2)C(=O)OC1 |$;;;;;;_R1;;;;;;;;;;;;;;;;;$,c:11|",Backbone,H,-,-,"OC(=O)C[C@H](NH)C(=O)COC1=C(Cc2ccccc2)C(=O)OC1 |$;;;;;;_R1;;;;;;;;;;;;;;;;;$,c:11|",complex_structure
X1348,"CN1CN=C(C[C@H](N)C([*])=O)C1 |$;;;;;;;;;_R2;;$,t:3|",Backbone,-,OH,-,"CN1CN=C(C[C@H](N)C(H)=O)C1 |$;;;;;;;;;_R2;;$,t:3|",complex_structure
X190,"CC1(C)C(=CC=CC=CC=CC2=[N+](CCC(=O)NC(=O)CN[*])c3ccc4ccccc4c3C2(C)C)N(CCC(O)=O)c2ccc3ccccc3c12 |w:4.4,6.6,8.8,10.10,$;;;;;;;;;;;;;;;;;;;;;;_R1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;$,c:11|",Backbone,H,-,-,"CC1(C)C(=CC=CC=CC=CC2=[N+](CCC(=O)NC(=O)CNH)c3ccc4ccccc4c3C2(C)C)N(CCC(O)=O)c2ccc3ccccc3c12 |w:4.4,6.6,8.8,10.10,$;;;;;;;;;;;;;;;;;;;;;;_R1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;$,c:11|",complex_structure
X2600,"COc1ccc(C=C2SC(=S)N(CC([*])=O)C2=O)cc1OC |w:6.5,$;;;;;;;;;;;;;;_R2;;;;;;;$|",Backbone,-,OH,-,"COc1ccc(C=C2SC(=S)N(CC(H)=O)C2=O)cc1OC |w:6.5,$;;;;;;;;;;;;;;_R2;;;;;;;$|",model_processing_error
X2639,"NC1=NCC[C@@H](N1)[C@H](NC(=O)N[C@@H](Cc1ccccc1)C(O)=O)C([*])=O |$;;;;;;;;;;;;;;;;;;;;;;;;_R2;$,t:1|",Backbone,-,OH,-,"NC1=NCC[C@@H](N1)[C@H](NC(=O)N[C@@H](Cc1ccccc1)C(O)=O)C(H)=O |$;;;;;;;;;;;;;;;;;;;;;;;;_R2;$,t:1|",complex_structure
