symbol,smiles,cxsmiles,monomer_type,embedding_mean,embedding_std,embedding_norm,embedding_min,embedding_max
X632,CC(C)(NH)C(=O)C(F)(F)C(F)(F)F,CC(C)(N[*])C(=O)C(F)(F)C(F)(F)F |$;;;;_R1;;;;;;;;;$|,Backbone,-0.0026953418,0.6090436,16.878477,-1.8080958,5.8859863
X396,HN1CCc2ccccc2[C@H]1C(H)=O,[*]N1CCc2ccccc2[C@H]1C([*])=O |$_R1;;;;;;;;;;;;_R2;$|,Backbone,-0.0027612566,0.5997116,16.619871,-2.6053054,6.540957
X341,HN[C@@H](Cc1cccc(c1)C#N)C(H)=O,[*]N[C@@H](Cc1cccc(c1)C#N)C([*])=O |$_R1;;;;;;;;;;;;;_R2;$|,Backbone,-0.0026840388,0.59082526,16.3736,-2.7106857,9.137856
dSer(tBu),CC(C)(C)OC[C@@H](NH)C(H)=O,CC(C)(C)OC[C@@H](N[*])C([*])=O |$;;;;;;;;_R1;;_R2;$|,Backbone,-0.0028832676,0.61946326,17.167255,-2.337736,8.500115
X510,C[C@@H](OC(C)(C)C)[C@H](NH)C(H)=O,C[C@@H](OC(C)(C)C)[C@H](N[*])C([*])=O |$;;;;;;;;;_R1;;_R2;$|,Backbone,-0.0025586213,0.61619574,17.076666,-2.3521392,7.751219
X503,CSCCC[C@H](NH)C(H)=O,CSCCC[C@H](N[*])C([*])=O |$;;;;;;;_R1;;_R2;$|,Backbone,-0.003139332,0.64263797,17.809517,-2.368359,8.739175
X406,NCCCC[C@H](NH)C(=O)c1nccs1,NCCCC[C@H](N[*])C(=O)c1nccs1 |$;;;;;;;_R1;;;;;;;$|,Backbone,-0.0024790403,0.60238326,16.693876,-3.0034342,7.5649295
Me_meL,CC(C)C[C@H](N(C)C)C(H)=O,CC(C)C[C@H](N(C)C)C([*])=O |$;;;;;;;;;_R2;$|,Backbone,-0.0031329526,0.5819792,16.128515,-2.0348086,8.284155
X312,Sc1ccc(C[C@H](NH)C(H)=O)cc1,Sc1ccc(C[C@H](N[*])C([*])=O)cc1 |$;;;;;;;;_R1;;_R2;;;$|,Backbone,-0.0034672588,0.63271815,17.534664,-2.8868885,9.638517
X375,CCc1cccc(C)c1C[C@H](NH)C(H)=O,CCc1cccc(C)c1C[C@H](N[*])C([*])=O |$;;;;;;;;;;;;_R1;;_R2;$|,Backbone,-0.002945782,0.6005538,16.643234,-2.7712862,8.760109
X384,Cc1c(C)c(C)c(C[C@H](NH)C(H)=O)c(C)c1C,Cc1c(C)c(C)c(C[C@H](N[*])C([*])=O)c(C)c1C |$;;;;;;;;;;_R1;;_R2;;;;;$|,Backbone,-0.0025072396,0.5890019,16.323048,-2.3710542,7.770012
X1597,C[N+](C)(C)[C@@H](Cc1ccccc1)C(H)=O,C[N+](C)(C)[C@@H](Cc1ccccc1)C([*])=O |$;;;;;;;;;;;;;_R2;$|,Backbone,-0.002772222,0.5937866,16.455675,-2.7034793,8.06301
X671,HN[C@H](C(H)=O)c1cccs1,[*]N[C@H](C([*])=O)c1cccs1 |$_R1;;;;_R2;;;;;;$|,Backbone,-0.0034162737,0.6144313,17.027884,-2.4065616,9.261205
X775,C[C@H](OC(=O)[C@@H]1CCCN1H)C(O)=O,C[C@H](OC(=O)[C@@H]1CCCN1[*])C(O)=O |$;;;;;;;;;;_R1;;;$|,Backbone,-0.0027822815,0.5632692,15.609963,-1.8292072,5.814737
V_OMe,COC(=O)[C@@H](NH)C(C)C,COC(=O)[C@@H](N[*])C(C)C |$;;;;;;_R1;;;$|,Backbone,-0.002507164,0.64680916,17.925035,-2.4346163,6.7378597
X914,N[C@@H]1C[C@@H]1CC[C@H](NH)C(H)=O,N[C@@H]1C[C@@H]1CC[C@H](N[*])C([*])=O |$;;;;;;;;_R1;;_R2;$|,Backbone,-0.0034646362,0.65347177,18.109795,-1.8728048,9.946004
X1925,CO[C@@H](N(C)H)C(H)=O,CO[C@@H](N(C)[*])C([*])=O |$;;;;;_R1;;_R2;$|,Backbone,-0.0025809817,0.6672543,18.49163,-3.093192,9.381058
X1555,CO[C@H]1C[C@H](N(H)C1)C(H)=O,CO[C@H]1C[C@H](N([*])C1)C([*])=O |$;;;;;;_R1;;;_R2;$|,Backbone,-0.003527361,0.6283836,17.414549,-1.9517629,8.7647
X534,COc1ccc(cc1)C(=O)CC[C@H](NH)C(H)=O,COc1ccc(cc1)C(=O)CC[C@H](N[*])C([*])=O |$;;;;;;;;;;;;;;_R1;;_R2;$|,Backbone,-0.0026591786,0.5795402,16.060858,-2.3303185,8.114633
X2572,COc1cc2CC[C@H](N(C(C)=O)C(=O)[C@@H](CS)NH)c3cc(=O)c(OC)ccc3-c2c(OC)c1OC,COc1cc2CC[C@H](N(C(C)=O)C(=O)[C@@H](CS)N[*])c3cc(=O)c(OC)ccc3-c2c(OC)c1OC |$;;;;;;;;;;;;;;;;;;_R1;;;;;;;;;;;;;;;;;$|,Backbone,-0.0018253926,0.5344641,14.811591,-2.269774,5.582709
X2573,NC[C@H](NC(O)=O)C(H)=O,NC[C@H](NC(O)=O)C([*])=O |$;;;;;;;;_R2;$|,Backbone,-0.0033739272,0.64991456,18.011204,-1.8679749,9.073503
X2614,Clc1ccc(C[C@H](Nc2ccco2)C(H)=O)cc1,Clc1ccc(C[C@H](Nc2ccco2)C([*])=O)cc1 |$;;;;;;;;;;;;;;_R2;;;$|,Backbone,-0.0036452103,0.595186,16.494589,-2.803418,9.456879
